Folkemengden i bydelene etter ett-årsaldersgrupper per 01.01.2023 i alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I alt,0 år,1 år,2 år,3 år,4 år,5 år,6 år,7 år,8 år,9 år,10 år,11 år,12 år,13 år,14 år,15 år,16 år,17 år,18 år,19 år,20 år,21 år,22 år,23 år,24 år,25 år,26 år,27 år,28 år,29 år,30 år,31 år,32 år,33 år,34 år,35 år,36 år,37 år,38 år,39 år,40 år,41 år,42 år,43 år,44 år,45 år,46 år,47 år,48 år,49 år,50 år,51 år,52 år,53 år,54 år,55 år,56 år,57 år,58 år,59 år,60 år,61 år,62 år,63 år,64 år,65 år,66 år,67 år,68 år,69 år,70 år,71 år,72 år,73 år,74 år,75 år,76 år,77 år,78 år,79 år,80 år,81 år,82 år,83 år,84 år,85 år,86 år,87 år,88 år,89 år,90 år,91 år,92 år,93 år,94 år,95 år,96 år,97 år,98 år,99 år+
Oslo i alt,"755,433","12,319","11,501","10,762","10,079","9,455","9,042","8,632","8,242","7,854","7,484","7,258","7,149","7,293","7,262","7,057","7,034","7,038","6,969","7,135","7,277","7,777","8,358","9,730","10,599","12,831","14,161","15,297","15,960","15,331","16,059","17,728","18,239","17,637","15,958","14,946","13,884","13,974","13,434","12,752","11,917","11,213","11,127","11,135","10,830","10,375","9,734","9,810","9,736","9,817","9,335","9,416","9,170","8,811","8,648","8,392","8,060","7,986","7,837","7,734","7,338","7,044","6,617","6,750","6,424","6,338","6,020","5,788","5,481","5,303","5,015","4,891","4,671","4,528","4,451","4,418","4,411","4,608","3,952","3,780","3,167","2,667","2,128","2,248","2,068","1,815","1,608","1,386","1,258","1,051",978,927,812,698,520,430,303,267,188,147,359
01 Gamle Oslo,"69,615","1,359","1,241","1,129","1,023",923,853,786,723,667,617,594,569,550,539,506,511,548,498,545,538,680,745,910,"1,031","1,367","1,564","1,582","1,847","1,778","2,089","2,270","2,139","2,160","2,018","1,820","1,712","1,595","1,511","1,466","1,212","1,163","1,137","1,165","1,095","1,039",955,924,893,865,846,848,810,720,688,598,638,585,615,545,509,509,440,439,408,411,356,351,345,317,284,265,257,254,245,211,218,203,184,154,126,107,73,95,73,69,58,46,38,37,31,32,31,22,15,10,10,11,7,5,15
02 Grünerløkka,"66,960","1,195","1,050",918,802,698,644,594,545,500,461,442,440,391,373,371,384,404,434,433,531,604,749,"1,069","1,082","1,660","1,845","2,256","2,171","1,764","2,213","2,375","2,676","2,370","2,067","1,799","1,545","1,599","1,560","1,364","1,240","1,077","1,053","1,061",983,909,838,779,826,793,709,767,619,661,635,532,540,542,484,510,447,465,410,385,381,356,323,334,300,301,275,259,198,224,214,200,184,188,158,169,130,124,89,102,98,73,87,67,62,72,56,57,55,39,34,26,17,19,15,9,22
03 Sagene,"44,995",922,785,665,561,473,427,386,346,311,279,267,267,249,234,232,247,247,251,258,289,403,419,552,666,964,"1,205","1,296","1,339","1,433","1,459","1,718","1,787","1,722","1,361","1,326","1,072","1,134","1,036",983,807,741,713,709,660,585,549,528,501,523,480,477,465,413,380,393,351,365,364,318,332,289,275,297,237,272,247,235,208,212,229,192,182,168,161,160,156,153,148,132,84,102,68,78,50,53,54,39,43,34,34,32,28,25,20,18,12,10,8,7,18
04 St.Hanshaugen,"43,635",761,634,528,436,360,331,305,280,256,234,224,215,212,213,201,237,213,235,231,333,374,478,639,"1,017","1,230","1,475","1,485","1,781","1,446","1,423","1,589","1,768","1,636","1,305","1,122",975,979,968,835,682,629,653,601,552,559,496,480,451,457,452,441,423,396,371,385,349,346,337,315,294,331,248,266,278,256,244,236,225,209,216,208,201,164,196,165,179,185,150,147,102,94,74,87,84,62,47,44,43,39,42,29,29,29,18,14,11,12,8,8,22
05 Frogner,"69,239","1,043",888,754,636,535,488,445,407,369,336,323,292,307,294,288,308,333,382,423,494,623,783,"1,099","1,307","1,784","2,102","2,189","2,229","2,217","1,809","2,251","2,255","2,187","1,787","1,478","1,300","1,341","1,258","1,212","1,027",937,899,905,864,792,753,759,775,792,691,791,722,727,678,780,701,680,712,712,703,696,634,659,641,617,596,554,543,529,504,476,489,474,429,452,449,475,388,377,344,238,201,212,181,181,149,108,113,93,81,69,68,58,44,41,29,22,17,15,37
06 Ullern,"36,843",558,538,517,497,476,458,438,418,399,377,355,367,357,391,312,338,343,316,297,301,314,301,331,294,315,379,395,468,534,556,613,617,574,610,679,626,587,602,542,578,509,529,584,521,503,481,464,522,506,453,488,500,468,433,450,458,451,441,487,424,403,389,447,423,438,384,433,392,368,396,382,363,337,329,330,330,391,329,334,275,198,158,173,187,155,112,114,90,84,73,80,55,54,43,41,23,24,18,15,33
07 Vestre Aker,"52,858",802,788,774,758,740,718,693,670,646,620,594,571,593,598,626,588,554,535,561,492,494,518,553,508,547,564,623,688,674,719,775,792,799,812,805,861,823,780,713,775,765,788,727,727,689,663,715,675,721,694,679,694,665,683,641,612,621,664,643,582,607,560,591,554,563,606,561,513,580,502,487,493,472,472,459,490,521,453,414,347,286,228,223,222,180,166,150,125,83,95,88,88,61,51,45,32,26,16,16,40
08 Nordre Aker,"57,344",952,918,883,846,809,774,738,703,664,620,580,600,603,602,559,558,545,558,561,539,603,650,777,851,"1,048",998,"1,086","1,035","1,046","1,052","1,079","1,150","1,168","1,105","1,037","1,007",967,996,991,906,913,878,845,816,791,767,735,750,698,719,697,718,663,663,607,619,601,569,582,532,500,526,535,463,499,481,424,445,406,391,383,393,347,366,382,394,375,297,297,248,214,174,178,178,153,122,112,124,91,83,88,70,64,52,44,29,23,19,14,33
09 Bjerke,"39,051",704,679,655,630,606,583,559,537,515,494,480,452,502,481,475,439,447,451,433,428,424,455,476,480,561,559,599,629,633,716,693,762,716,728,786,635,725,684,648,678,600,622,651,623,619,592,556,545,565,554,521,525,485,459,444,406,435,412,391,371,383,314,332,287,274,287,259,250,233,206,202,201,193,193,189,177,206,148,152,122,98,98,90,89,78,73,59,55,48,45,35,34,29,26,17,13,12,9,7,15
10 Grorud,"29,220",417,413,408,404,399,393,388,379,372,365,363,383,386,375,376,377,384,362,339,354,356,370,341,367,406,375,408,413,419,465,433,466,439,443,445,438,446,406,439,425,404,412,439,448,400,406,414,430,441,396,379,413,401,398,411,371,356,347,335,359,295,288,289,293,268,245,245,228,210,205,188,194,180,180,173,182,179,160,161,136,130,102,101,94,78,83,64,71,51,47,43,35,32,23,19,13,12,5,6,15
11 Stovner,"36,329",515,519,523,526,527,524,520,518,513,510,510,480,528,516,543,536,502,486,553,503,502,485,492,451,486,430,486,463,462,463,480,490,485,483,456,502,462,468,515,476,484,494,477,552,524,460,492,509,510,495,481,512,499,463,466,429,454,398,406,367,358,341,360,320,348,296,277,279,286,273,276,239,262,250,270,257,289,274,243,205,196,142,146,134,112,100,84,62,50,46,46,37,28,23,14,13,10,6,5,11
12 Alna,"52,766",793,779,763,747,731,714,696,678,661,646,642,637,622,651,640,665,594,606,628,636,614,641,648,694,649,733,760,788,835,890,969,920,917,863,842,841,858,812,759,751,731,725,729,730,723,659,696,680,745,658,696,674,627,647,633,617,619,608,605,560,563,515,504,508,450,467,476,418,409,388,412,395,392,405,381,374,382,330,293,257,244,191,189,161,152,120,116,95,81,75,88,59,58,36,30,21,18,12,8,18
13 Østensjø,"52,280",795,778,762,744,725,706,688,671,650,629,614,584,672,657,635,578,624,569,595,551,516,513,581,580,527,612,637,695,741,769,857,861,855,837,806,846,872,823,797,841,793,777,788,749,751,720,779,738,740,728,716,691,686,680,689,659,625,616,599,612,517,506,525,504,467,468,465,404,397,350,358,350,345,313,355,334,376,333,335,287,232,209,224,203,190,208,170,150,138,122,114,95,87,61,47,32,25,17,12,26
14 Nordstrand,"54,269",783,768,753,737,719,702,682,663,640,620,601,597,613,606,610,580,606,570,568,570,533,561,576,599,573,637,670,734,695,755,834,796,883,840,795,850,841,834,814,814,773,768,809,797,808,720,751,741,755,755,765,763,694,747,678,710,684,648,675,659,577,656,586,595,604,551,488,513,487,448,444,408,436,416,428,449,426,389,362,337,253,214,242,216,201,164,153,140,117,113,93,96,83,59,52,36,31,23,17,44
15 Søndre Nordstrand,"43,646",673,678,683,685,686,678,667,657,645,631,629,629,658,675,635,641,650,654,658,649,674,597,612,590,562,620,560,631,575,619,632,637,616,609,642,572,638,583,562,596,583,566,547,604,570,569,622,574,582,599,562,521,596,609,575,507,520,526,525,495,470,444,455,455,453,402,396,359,311,302,310,267,245,249,235,212,229,181,182,148,133,94,94,87,67,58,46,39,30,31,29,22,23,12,8,9,5,4,3,7
     Sentrum,"1,563",8,7,7,5,5,5,3,3,3,3,3,4,1,2,4,3,4,11,17,11,24,49,40,38,113,15,225,0,31,14,89,65,45,30,27,22,32,24,40,26,26,19,22,21,28,23,19,25,27,22,18,26,23,26,14,12,22,13,14,12,12,9,11,6,7,6,5,4,7,2,4,2,5,2,2,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     Marka,"1,878",29,27,27,27,26,26,25,25,24,23,21,23,27,22,20,21,17,24,16,30,20,20,18,19,17,15,18,20,22,11,29,27,19,19,32,31,23,38,24,33,33,40,14,25,34,23,32,38,25,19,25,29,29,29,31,25,25,26,23,31,25,28,30,36,19,19,19,21,20,19,19,17,9,15,12,11,11,12,11,4,7,3,4,2,4,4,3,0,1,0,1,0,0,0,1,0,0,0,0,0
