year,age,sex,people
1990,0,1,3427
1990,1,1,3116
1990,2,1,2696
1990,3,1,2486
1990,4,1,2398
1990,5,1,2175
1990,6,1,2104
1990,7,1,2071
1990,8,1,2044
1990,9,1,2004
1990,10,1,1957
1990,11,1,1970
1990,12,1,1953
1990,13,1,1954
1990,14,1,1938
1990,15,1,2080
1990,16,1,2119
1990,17,1,2281
1990,18,1,2349
1990,19,1,2496
1990,20,1,2696
1990,21,1,3020
1990,22,1,3218
1990,23,1,3720
1990,24,1,3997
1990,25,1,4315
1990,26,1,4520
1990,27,1,4713
1990,28,1,4780
1990,29,1,4772
1990,30,1,4646
1990,31,1,4328
1990,32,1,4204
1990,33,1,3992
1990,34,1,3903
1990,35,1,3655
1990,36,1,3552
1990,37,1,3432
1990,38,1,3284
1990,39,1,3210
1990,40,1,3307
1990,41,1,3515
1990,42,1,3522
1990,43,1,3884
1990,44,1,3206
1990,45,1,3332
1990,46,1,2852
1990,47,1,2491
1990,48,1,2121
1990,49,1,2195
1990,50,1,2203
1990,51,1,2006
1990,52,1,1932
1990,53,1,1847
1990,54,1,1670
1990,55,1,1694
1990,56,1,1832
1990,57,1,1947
1990,58,1,2039
1990,59,1,2036
1990,60,1,1974
1990,61,1,2005
1990,62,1,1970
1990,63,1,2090
1990,64,1,2011
1990,65,1,2288
1990,66,1,2280
1990,67,1,2247
1990,68,1,2201
1990,69,1,2261
1990,70,1,1895
1990,71,1,1813
1990,72,1,1835
1990,73,1,1593
1990,74,1,1548
1990,75,1,1564
1990,76,1,1371
1990,77,1,1309
1990,78,1,1232
1990,79,1,1024
1990,80,1,1006
1990,81,1,804
1990,82,1,704
1990,83,1,602
1990,84,1,517
1990,85,1,429
1990,86,1,411
1990,87,1,324
1990,88,1,273
1990,89,1,193
1990,90,1,122
1990,91,1,141
1990,92,1,84
1990,93,1,56
1990,94,1,40
1990,95,1,38
1990,96,1,27
1990,97,1,13
1990,98,1,9
1990,99,1,8
1990,0,2,3324
1990,1,2,2882
1990,2,2,2647
1990,3,2,2415
1990,4,2,2185
1990,5,2,2085
1990,6,2,1916
1990,7,2,2045
1990,8,2,1908
1990,9,2,1861
1990,10,2,1955
1990,11,2,1835
1990,12,2,1733
1990,13,2,1867
1990,14,2,1907
1990,15,2,2132
1990,16,2,2007
1990,17,2,2185
1990,18,2,2377
1990,19,2,2582
1990,20,2,3123
1990,21,2,3559
1990,22,2,3987
1990,23,2,4464
1990,24,2,4696
1990,25,2,4974
1990,26,2,4914
1990,27,2,4888
1990,28,2,4792
1990,29,2,4560
1990,30,2,4364
1990,31,2,4253
1990,32,2,4036
1990,33,2,3757
1990,34,2,3603
1990,35,2,3469
1990,36,2,3323
1990,37,2,3221
1990,38,2,3070
1990,39,2,3080
1990,40,2,3009
1990,41,2,3101
1990,42,2,3336
1990,43,2,3490
1990,44,2,3172
1990,45,2,3077
1990,46,2,2655
1990,47,2,2428
1990,48,2,2046
1990,49,2,2208
1990,50,2,2201
1990,51,2,2093
1990,52,2,2082
1990,53,2,1938
1990,54,2,1948
1990,55,2,1924
1990,56,2,1941
1990,57,2,2054
1990,58,2,2218
1990,59,2,2420
1990,60,2,2284
1990,61,2,2298
1990,62,2,2209
1990,63,2,2550
1990,64,2,2633
1990,65,2,2749
1990,66,2,2879
1990,67,2,2921
1990,68,2,2978
1990,69,2,3306
1990,70,2,2670
1990,71,2,2814
1990,72,2,2774
1990,73,2,2659
1990,74,2,2697
1990,75,2,2587
1990,76,2,2662
1990,77,2,2464
1990,78,2,2331
1990,79,2,2269
1990,80,2,2202
1990,81,2,1973
1990,82,2,1886
1990,83,2,1680
