burrough,year,age,sex,people
01,2005,0,1,353
01,2005,1,1,323
01,2005,2,1,270
01,2005,3,1,238
01,2005,4,1,192
01,2005,5,1,180
01,2005,6,1,180
01,2005,7,1,159
01,2005,8,1,136
01,2005,9,1,143
01,2005,10,1,136
01,2005,11,1,130
01,2005,12,1,137
01,2005,13,1,112
01,2005,14,1,122
01,2005,15,1,107
01,2005,16,1,119
01,2005,17,1,106
01,2005,18,1,129
01,2005,19,1,136
01,2005,20,1,182
01,2005,21,1,197
01,2005,22,1,205
01,2005,23,1,258
01,2005,24,1,260
01,2005,25,1,352
01,2005,26,1,457
01,2005,27,1,537
01,2005,28,1,615
01,2005,29,1,664
01,2005,30,1,670
01,2005,31,1,659
01,2005,32,1,615
01,2005,33,1,572
01,2005,34,1,522
01,2005,35,1,470
01,2005,36,1,415
01,2005,37,1,410
01,2005,38,1,372
01,2005,39,1,328
01,2005,40,1,345
01,2005,41,1,321
01,2005,42,1,293
01,2005,43,1,269
01,2005,44,1,249
01,2005,45,1,244
01,2005,46,1,245
01,2005,47,1,209
01,2005,48,1,215
01,2005,49,1,222
01,2005,50,1,201
01,2005,51,1,169
01,2005,52,1,191
01,2005,53,1,182
01,2005,54,1,191
01,2005,55,1,174
01,2005,56,1,174
01,2005,57,1,165
01,2005,58,1,174
01,2005,59,1,171
01,2005,60,1,151
01,2005,61,1,117
01,2005,62,1,111
01,2005,63,1,110
01,2005,64,1,94
01,2005,65,1,78
01,2005,66,1,68
01,2005,67,1,61
01,2005,68,1,48
01,2005,69,1,46
01,2005,70,1,50
01,2005,71,1,50
01,2005,72,1,54
01,2005,73,1,51
01,2005,74,1,39
01,2005,75,1,25
01,2005,76,1,40
01,2005,77,1,43
01,2005,78,1,38
01,2005,79,1,29
01,2005,80,1,31
01,2005,81,1,42
01,2005,82,1,28
01,2005,83,1,29
01,2005,84,1,31
01,2005,85,1,23
01,2005,86,1,26
01,2005,87,1,19
01,2005,88,1,13
01,2005,89,1,10
01,2005,90,1,8
01,2005,91,1,14
01,2005,92,1,5
01,2005,93,1,3
01,2005,94,1,3
01,2005,95,1,2
01,2005,96,1,0
01,2005,97,1,0
01,2005,98,1,0
01,2005,99,1,0
02,2005,0,1,348
02,2005,1,1,277
02,2005,2,1,214
02,2005,3,1,164
02,2005,4,1,200
02,2005,5,1,123
02,2005,6,1,127
02,2005,7,1,133
02,2005,8,1,139
02,2005,9,1,124
02,2005,10,1,105
02,2005,11,1,131
02,2005,12,1,107
02,2005,13,1,97
02,2005,14,1,103
02,2005,15,1,89
02,2005,16,1,83
02,2005,17,1,101
02,2005,18,1,101
02,2005,19,1,127
02,2005,20,1,176
02,2005,21,1,208
02,2005,22,1,250
02,2005,23,1,324
02,2005,24,1,334
02,2005,25,1,441
02,2005,26,1,582
02,2005,27,1,632
02,2005,28,1,788
02,2005,29,1,776
02,2005,30,1,783
02,2005,31,1,784
02,2005,32,1,722
02,2005,33,1,645
02,2005,34,1,617
02,2005,35,1,553
02,2005,36,1,502
02,2005,37,1,404
02,2005,38,1,413
02,2005,39,1,382
02,2005,40,1,337
02,2005,41,1,283
02,2005,42,1,282
02,2005,43,1,270
02,2005,44,1,260
02,2005,45,1,266
02,2005,46,1,219
02,2005,47,1,219
02,2005,48,1,192
02,2005,49,1,224
02,2005,50,1,197
02,2005,51,1,181
02,2005,52,1,202
02,2005,53,1,176
02,2005,54,1,176
02,2005,55,1,162
02,2005,56,1,155
02,2005,57,1,175
02,2005,58,1,164
02,2005,59,1,153
02,2005,60,1,141
02,2005,61,1,126
02,2005,62,1,142
02,2005,63,1,89
02,2005,64,1,108
02,2005,65,1,84
02,2005,66,1,61
02,2005,67,1,59
02,2005,68,1,39
02,2005,69,1,36
02,2005,70,1,46
02,2005,71,1,51
02,2005,72,1,49
02,2005,73,1,46
02,2005,74,1,48
02,2005,75,1,38
02,2005,76,1,36
02,2005,77,1,43
02,2005,78,1,45
02,2005,79,1,28
02,2005,80,1,38
02,2005,81,1,35
02,2005,82,1,39
02,2005,83,1,47
02,2005,84,1,30
02,2005,85,1,23
02,2005,86,1,16
02,2005,87,1,24
02,2005,88,1,11
02,2005,89,1,15
02,2005,90,1,16
02,2005,91,1,9
02,2005,92,1,9
02,2005,93,1,5
02,2005,94,1,1
02,2005,95,1,2
02,2005,96,1,1
02,2005,97,1,1
02,2005,98,1,1
02,2005,99,1,0
03,2005,0,1,280
03,2005,1,1,209
03,2005,2,1,180
03,2005,3,1,126
03,2005,4,1,122
03,2005,5,1,112
03,2005,6,1,91
03,2005,7,1,66
03,2005,8,1,84
03,2005,9,1,77
03,2005,10,1,66
03,2005,11,1,68
03,2005,12,1,78
03,2005,13,1,54
03,2005,14,1,51
03,2005,15,1,54
03,2005,16,1,59
03,2005,17,1,52
03,2005,18,1,74
03,2005,19,1,79
03,2005,20,1,106
03,2005,21,1,123
03,2005,22,1,166
03,2005,23,1,201
03,2005,24,1,216
03,2005,25,1,285
03,2005,26,1,358
03,2005,27,1,461
03,2005,28,1,553
03,2005,29,1,621
03,2005,30,1,667
03,2005,31,1,628
03,2005,32,1,581
03,2005,33,1,510
03,2005,34,1,487
03,2005,35,1,414
03,2005,36,1,351
03,2005,37,1,293
03,2005,38,1,311
03,2005,39,1,262
03,2005,40,1,250
03,2005,41,1,235
03,2005,42,1,220
03,2005,43,1,205
03,2005,44,1,211
03,2005,45,1,161
03,2005,46,1,171
03,2005,47,1,180
03,2005,48,1,161
03,2005,49,1,157
03,2005,50,1,153
03,2005,51,1,148
03,2005,52,1,145
03,2005,53,1,146
03,2005,54,1,145
03,2005,55,1,129
03,2005,56,1,127
03,2005,57,1,137
03,2005,58,1,169
03,2005,59,1,132
03,2005,60,1,138
03,2005,61,1,97
03,2005,62,1,103
03,2005,63,1,88
03,2005,64,1,83
03,2005,65,1,67
03,2005,66,1,62
03,2005,67,1,71
03,2005,68,1,50
03,2005,69,1,60
03,2005,70,1,48
03,2005,71,1,51
03,2005,72,1,50
03,2005,73,1,52
03,2005,74,1,56
03,2005,75,1,48
03,2005,76,1,51
03,2005,77,1,38
03,2005,78,1,35
03,2005,79,1,43
03,2005,80,1,43
03,2005,81,1,36
03,2005,82,1,41
03,2005,83,1,32
03,2005,84,1,27
03,2005,85,1,23
03,2005,86,1,21
03,2005,87,1,20
03,2005,88,1,15
03,2005,89,1,11
03,2005,90,1,14
03,2005,91,1,8
03,2005,92,1,10
03,2005,93,1,7
03,2005,94,1,0
03,2005,95,1,3
03,2005,96,1,1
03,2005,97,1,1
03,2005,98,1,0
03,2005,99,1,1
04,2005,0,1,228
04,2005,1,1,187
04,2005,2,1,141
04,2005,3,1,103
04,2005,4,1,101
04,2005,5,1,94
04,2005,6,1,79
04,2005,7,1,71
04,2005,8,1,76
04,2005,9,1,71
04,2005,10,1,61
04,2005,11,1,42
04,2005,12,1,49
04,2005,13,1,41
04,2005,14,1,49
04,2005,15,1,43
04,2005,16,1,51
04,2005,17,1,50
04,2005,18,1,41
04,2005,19,1,61
04,2005,20,1,95
04,2005,21,1,161
04,2005,22,1,200
04,2005,23,1,236
04,2005,24,1,305
04,2005,25,1,358
04,2005,26,1,483
04,2005,27,1,548
04,2005,28,1,570
04,2005,29,1,586
04,2005,30,1,646
04,2005,31,1,600
04,2005,32,1,578
04,2005,33,1,498
04,2005,34,1,394
04,2005,35,1,379
04,2005,36,1,338
04,2005,37,1,264
04,2005,38,1,304
04,2005,39,1,257
04,2005,40,1,219
04,2005,41,1,204
04,2005,42,1,186
04,2005,43,1,155
04,2005,44,1,152
04,2005,45,1,155
04,2005,46,1,133
04,2005,47,1,135
04,2005,48,1,143
04,2005,49,1,131
04,2005,50,1,124
04,2005,51,1,119
04,2005,52,1,125
04,2005,53,1,109
04,2005,54,1,116
04,2005,55,1,110
04,2005,56,1,119
04,2005,57,1,118
04,2005,58,1,153
04,2005,59,1,107
04,2005,60,1,123
04,2005,61,1,94
04,2005,62,1,81
04,2005,63,1,72
04,2005,64,1,84
04,2005,65,1,72
04,2005,66,1,67
04,2005,67,1,43
04,2005,68,1,51
04,2005,69,1,29
04,2005,70,1,31
04,2005,71,1,33
04,2005,72,1,40
04,2005,73,1,39
04,2005,74,1,50
04,2005,75,1,36
04,2005,76,1,31
04,2005,77,1,20
04,2005,78,1,23
04,2005,79,1,28
04,2005,80,1,29
04,2005,81,1,23
04,2005,82,1,27
04,2005,83,1,25
04,2005,84,1,27
04,2005,85,1,17
04,2005,86,1,21
04,2005,87,1,13
04,2005,88,1,11
04,2005,89,1,7
04,2005,90,1,10
04,2005,91,1,6
04,2005,92,1,6
04,2005,93,1,3
04,2005,94,1,5
04,2005,95,1,2
04,2005,96,1,3
04,2005,97,1,2
04,2005,98,1,0
04,2005,99,1,1
05,2005,0,1,316
05,2005,1,1,239
05,2005,2,1,202
05,2005,3,1,128
05,2005,4,1,151
05,2005,5,1,138
05,2005,6,1,128
05,2005,7,1,96
05,2005,8,1,122
05,2005,9,1,101
05,2005,10,1,111
05,2005,11,1,85
05,2005,12,1,96
05,2005,13,1,92
05,2005,14,1,107
05,2005,15,1,113
05,2005,16,1,102
05,2005,17,1,99
05,2005,18,1,112
05,2005,19,1,143
05,2005,20,1,206
05,2005,21,1,249
05,2005,22,1,307
05,2005,23,1,352
05,2005,24,1,419
05,2005,25,1,549
05,2005,26,1,645
05,2005,27,1,645
05,2005,28,1,743
05,2005,29,1,767
05,2005,30,1,760
05,2005,31,1,728
05,2005,32,1,723
05,2005,33,1,601
05,2005,34,1,564
05,2005,35,1,516
05,2005,36,1,494
05,2005,37,1,443
05,2005,38,1,445
05,2005,39,1,426
05,2005,40,1,369
05,2005,41,1,301
05,2005,42,1,328
05,2005,43,1,314
05,2005,44,1,296
05,2005,45,1,278
05,2005,46,1,232
05,2005,47,1,251
05,2005,48,1,256
05,2005,49,1,268
05,2005,50,1,233
05,2005,51,1,248
05,2005,52,1,244
05,2005,53,1,266
05,2005,54,1,269
05,2005,55,1,264
05,2005,56,1,279
05,2005,57,1,326
05,2005,58,1,357
05,2005,59,1,303
05,2005,60,1,284
05,2005,61,1,270
05,2005,62,1,192
05,2005,63,1,161
05,2005,64,1,205
05,2005,65,1,171
05,2005,66,1,164
05,2005,67,1,158
05,2005,68,1,116
05,2005,69,1,106
05,2005,70,1,91
05,2005,71,1,117
05,2005,72,1,104
05,2005,73,1,103
05,2005,74,1,95
05,2005,75,1,100
05,2005,76,1,102
05,2005,77,1,79
05,2005,78,1,86
05,2005,79,1,85
05,2005,80,1,72
05,2005,81,1,65
05,2005,82,1,67
05,2005,83,1,56
05,2005,84,1,61
05,2005,85,1,38
05,2005,86,1,46
05,2005,87,1,41
05,2005,88,1,30
05,2005,89,1,23
05,2005,90,1,17
05,2005,91,1,19
05,2005,92,1,17
05,2005,93,1,8
05,2005,94,1,5
05,2005,95,1,5
05,2005,96,1,2
05,2005,97,1,4
05,2005,98,1,1
05,2005,99,1,5
06,2005,0,1,196
06,2005,1,1,195
06,2005,2,1,198
06,2005,3,1,160
06,2005,4,1,156
06,2005,5,1,154
06,2005,6,1,163
06,2005,7,1,159
06,2005,8,1,155
06,2005,9,1,163
06,2005,10,1,164
06,2005,11,1,162
06,2005,12,1,173
06,2005,13,1,157
06,2005,14,1,158
06,2005,15,1,138
06,2005,16,1,151
06,2005,17,1,142
06,2005,18,1,142
06,2005,19,1,135
06,2005,20,1,138
06,2005,21,1,116
06,2005,22,1,126
06,2005,23,1,136
06,2005,24,1,120
06,2005,25,1,119
06,2005,26,1,128
06,2005,27,1,151
06,2005,28,1,141
06,2005,29,1,165
06,2005,30,1,173
06,2005,31,1,181
06,2005,32,1,198
06,2005,33,1,201
06,2005,34,1,193
06,2005,35,1,198
06,2005,36,1,192
06,2005,37,1,217
06,2005,38,1,207
06,2005,39,1,193
06,2005,40,1,237
06,2005,41,1,210
06,2005,42,1,175
06,2005,43,1,161
06,2005,44,1,180
06,2005,45,1,173
06,2005,46,1,199
06,2005,47,1,182
06,2005,48,1,198
06,2005,49,1,170
06,2005,50,1,185
06,2005,51,1,180
06,2005,52,1,189
06,2005,53,1,176
06,2005,54,1,156
06,2005,55,1,202
06,2005,56,1,189
06,2005,57,1,193
06,2005,58,1,255
06,2005,59,1,188
06,2005,60,1,191
06,2005,61,1,168
06,2005,62,1,125
06,2005,63,1,103
06,2005,64,1,116
06,2005,65,1,127
06,2005,66,1,105
06,2005,67,1,93
06,2005,68,1,86
06,2005,69,1,74
06,2005,70,1,67
06,2005,71,1,71
06,2005,72,1,71
06,2005,73,1,83
06,2005,74,1,68
06,2005,75,1,75
06,2005,76,1,73
06,2005,77,1,73
06,2005,78,1,59
06,2005,79,1,73
06,2005,80,1,65
06,2005,81,1,77
06,2005,82,1,62
06,2005,83,1,58
06,2005,84,1,58
06,2005,85,1,41
06,2005,86,1,39
06,2005,87,1,39
06,2005,88,1,21
06,2005,89,1,20
06,2005,90,1,23
06,2005,91,1,14
06,2005,92,1,7
06,2005,93,1,7
06,2005,94,1,4
06,2005,95,1,9
06,2005,96,1,3
06,2005,97,1,2
06,2005,98,1,2
06,2005,99,1,2
07,2005,0,1,291
07,2005,1,1,279
07,2005,2,1,250
07,2005,3,1,280
07,2005,4,1,263
07,2005,5,1,249
07,2005,6,1,253
07,2005,7,1,266
07,2005,8,1,258
07,2005,9,1,306
07,2005,10,1,258
07,2005,11,1,257
07,2005,12,1,266
07,2005,13,1,276
07,2005,14,1,271
07,2005,15,1,271
07,2005,16,1,294
07,2005,17,1,269
07,2005,18,1,268
07,2005,19,1,233
07,2005,20,1,209
07,2005,21,1,213
07,2005,22,1,228
07,2005,23,1,215
07,2005,24,1,234
07,2005,25,1,216
07,2005,26,1,213
07,2005,27,1,230
07,2005,28,1,225
07,2005,29,1,213
07,2005,30,1,247
07,2005,31,1,228
07,2005,32,1,298
07,2005,33,1,269
07,2005,34,1,246
07,2005,35,1,300
07,2005,36,1,287
07,2005,37,1,272
07,2005,38,1,287
07,2005,39,1,268
